#qsoName		ra		dec			Z		Y		J		H		K		errZ		errY		errJ		errH		errK		
PSOJ045.1840-22.5408	45.1840820004	-22.540885		-1000		-1000		19.6845		-1000		19.1131		-1000		-1000		0.032812	-1000		0.052369		
PSOJ065.4085-26.9543	65.408537  	-26.954335		-1000		-1000		19.3712		-1000		19.2242		-1000		-1000		0.021533	-1000		0.048009		
PSOJ071.4507-02.3332	71.45075   	-2.3332900		-1000		-1000		18.986		-1000		18.9058		-1000		-1000		0.03023		-1000		0.052581		
PSOJ075.9356-07.5061	75.93566   	-7.5061300		-1000		-1000		20.5198		-1000		20.471		-1000		-1000		0.136904	-1000		0.261413		
PSOJ135.8704-13.8336	135.870456803	-13.833686		-1000		-1000		21.0934		-1000		20.9088		-1000		-1000		0.201865	-1000		0.385181		
PSOJ157.9070-02.6599	157.9070364	-2.6599072		20.1893		20.2431		20.263		20.0911		19.8248		0.020801	0.039861	0.033885	0.070917	0.060083		
PSOJ159.2257-02.5438	159.225791 	-2.5438734		20.2347		-1000		20.0877		19.9478		19.5678		0.019136	-1000		0.029456	0.047509	0.045443		
PSOJ167.6415-13.4960	167.641565998	-13.495999		-1000		20.8908		20.5895		21.7287		20.2275		-1000		0.144198	0.123343	0.523225	0.197926		
PSOJ174.7920-12.2845	174.7920407	-12.284549		-1000		20.5377		20.1984		20.3973		19.6362		-1000		0.103293	0.087111	0.159558	0.111474		
PSOJ175.4091-20.2654	175.409184302	-20.265458		-1000		20.1991		19.9415		-1000		19.6453		-1000		0.059542	0.078015	-1000		0.132747		
PSOJ178.5594-12.1881	178.5594134	-12.188189		-1000		21.1959		20.3404		20.4227		20.2697		-1000		0.201809	0.102135	0.224435	0.213888		
PSOJ183.2991-12.7676	183.299189998	-12.767624		-1000		19.2292		19.0742		19.1027		19.0994		-1000		0.028639	0.026165	0.035047	0.066338		
PSOJ184.3389+01.5284	184.3389334	1.5284636 		21.0848		21.216		21.1053		21.0819		20.7118		0.030585	0.077853	0.104305	0.120037	0.119477		
PSOJ187.1047-02.5609	187.104789998	-2.5609033		21.0237		20.912		20.8793		20.6783		20.4257		0.034033	0.057443	0.054668	0.102424	0.099245		
PSOJ209.2058-26.7083	209.205856 	-26.708396		-1000		19.4229		19.4354		-1000		19.1528		-1000		0.027349	0.041334	-1000		0.074785		
