# qsoName,qsoID,ra,dec,filterID,aperMag3AverAB,aperMag3Err,ppErrBits
            PSOJ159.2257-02.5438,                 175,    +159.2257910,      -2.5438734,   3,    +19.952948,     +0.088811,          0
            PSOJ159.2257-02.5438,                 175,    +159.2257910,      -2.5438734,   4,    +19.731544,     +0.115335,          0
            PSOJ159.2257-02.5438,                 175,    +159.2257910,      -2.5438734,   5,    +19.840199,     +0.129168,          0
                  SDSSJ1043+1010,                 177,    +160.8966374,     +10.1762712,   2,    +20.843576,     +0.122958,          0
                  SDSSJ1043+1010,                 177,    +160.8966374,     +10.1762712,   3,    +20.845610,     +0.185410,          0
                  SDSSJ1043+1010,                 177,    +160.8966374,     +10.1762712,   4,    +20.062712,     +0.136883,          0
                  SDSSJ1043+1010,                 177,    +160.8966374,     +10.1762712,   5,    +20.557365,     +0.214852,          0
                  SDSSJ1044-0125,                 178,    +161.1376700,      -1.4172777,   2,    +19.498758,     +0.035222,          0
                  SDSSJ1044-0125,                 178,    +161.1376700,      -1.4172777,   3,    +19.216665,     +0.033388,          0
                  SDSSJ1044-0125,                 178,    +161.1376700,      -1.4172777,   4,    +19.110592,     +0.050428,          0
                  SDSSJ1044-0125,                 178,    +161.1376700,      -1.4172777,   5,    +18.901796,     +0.041274,          0
                  DELSJ1048-0109,                 179,    +162.0795417,      -1.1611694,   2,    +21.053982,     +0.164961,          0
                  DELSJ1048-0109,                 179,    +162.0795417,      -1.1611694,   3,    +20.643473,     +0.151811,          0
                  DELSJ1048-0109,                 179,    +162.0795417,      -1.1611694,   4,    +20.452663,     +0.271386,          0
                  DELSJ1048-0109,                 179,    +162.0795417,      -1.1611694,   5,    +20.499641,     +0.244946,          0
                  SDSSJ1048+3339,                 444,    +162.1530410,     +33.6632388,   3,    +19.810806,     +0.081839,          0
                  SDSSJ1048+4637,                 180,    +162.1877710,     +46.6218184,   2,    +19.513935,     +0.055186,          0
                  SDSSJ1048+4637,                 180,    +162.1877710,     +46.6218184,   3,    +19.116990,     +0.033425,          0
                  SDSSJ1048+4637,                 180,    +162.1877710,     +46.6218184,   4,    +18.920996,     +0.049182,          0
                  SDSSJ1048+4637,                 180,    +162.1877710,     +46.6218184,   5,    +18.935009,     +0.055987,          0
                  SDSSJ1050+5804,                 181,    +162.6519480,     +58.0735236,   2,    +19.806782,     +0.008442,          0
                  SDSSJ1050+5804,                 181,    +162.6519480,     +58.0735236,   3,    +19.925953,     +0.005644,          0
                  SDSSJ1050+5804,                 181,    +162.6519480,     +58.0735236,   5,    +19.430850,     +0.008035,          0
